"anno","mes","codigo_provincia","nombre_oficial","siglas_unificadas","votos","total_votos_prov","porcentaje"
1979,"03","07","Balears, Illes","OTROS",14750,294617,5.01
1979,"03","07","Balears, Illes","IU_PCE_HISTORICO",13674,294617,4.64
1979,"03","07","Balears, Illes","EXTREMA_DERECHA_ANTIGUA",3199,294617,1.09
1979,"03","08","Barcelona","IU_PCE_HISTORICO",831547,2193912,37.9
1979,"03","08","Barcelona","PSOE",696420,2193912,31.74
1979,"03","08","Barcelona","UCD_CDS",366889,2193912,16.72
1979,"03","08","Barcelona","OTROS",118037,2193912,5.38
1979,"03","08","Barcelona","ERC",83740,2193912,3.82
1979,"03","08","Barcelona","PP",80601,2193912,3.67
1979,"03","08","Barcelona","EXTREMA_DERECHA_ANTIGUA",14018,2193912,0.64
1979,"03","08","Barcelona","BILDU_HB",2660,2193912,0.12
1979,"03","48","Bizkaia","PNV",163908,562082,29.16
1979,"03","48","Bizkaia","BILDU_HB",115547,562082,20.56
1979,"03","48","Bizkaia","PSOE",111395,562082,19.82
1979,"03","48","Bizkaia","UCD_CDS",89414,562082,15.91
1979,"03","48","Bizkaia","IU_PCE_HISTORICO",38864,562082,6.91
1979,"03","48","Bizkaia","OTROS",34015,562082,6.05
1979,"03","48","Bizkaia","EXTREMA_DERECHA_ANTIGUA",8404,562082,1.5
1979,"03","48","Bizkaia","PP",535,562082,0.1
1979,"03","09","Burgos","UCD_CDS",101911,192634,52.9
1979,"03","09","Burgos","PSOE",46808,192634,24.3
1979,"03","09","Burgos","PP",16441,192634,8.53
1979,"03","09","Burgos","IU_PCE_HISTORICO",13459,192634,6.99
1979,"03","09","Burgos","EXTREMA_DERECHA_ANTIGUA",8124,192634,4.22
1979,"03","09","Burgos","OTROS",5891,192634,3.06
1979,"03","39","Cantabria","UCD_CDS",109033,259567,42.01
1979,"03","39","Cantabria","PSOE",82306,259567,31.71
1979,"03","39","Cantabria","OTROS",30331,259567,11.69
1979,"03","39","Cantabria","IU_PCE_HISTORICO",25302,259567,9.75
1979,"03","39","Cantabria","EXTREMA_DERECHA_ANTIGUA",12595,259567,4.85
1979,"03","12","Castellón/Castelló","UCD_CDS",111334,239615,46.46
1979,"03","12","Castellón/Castelló","PSOE",88702,239615,37.02
1979,"03","12","Castellón/Castelló","IU_PCE_HISTORICO",19505,239615,8.14
1979,"03","12","Castellón/Castelló","PP",8453,239615,3.53
1979,"03","12","Castellón/Castelló","OTROS",6168,239615,2.57
1979,"03","12","Castellón/Castelló","EXTREMA_DERECHA_ANTIGUA",5453,239615,2.28
1979,"03","51","Ceuta","UCD_CDS",10986,21091,52.09
1979,"03","51","Ceuta","PSOE",7494,21091,35.53
1979,"03","51","Ceuta","PP",1660,21091,7.87
1979,"03","51","Ceuta","EXTREMA_DERECHA_ANTIGUA",735,21091,3.48
1979,"03","51","Ceuta","IU_PCE_HISTORICO",115,21091,0.55
1979,"03","51","Ceuta","OTROS",101,21091,0.48
1979,"03","13","Ciudad Real","UCD_CDS",100835,243391,41.43
1979,"03","13","Ciudad Real","PSOE",96130,243391,39.5
1979,"03","13","Ciudad Real","IU_PCE_HISTORICO",22390,243391,9.2
1979,"03","13","Ciudad Real","PP",11677,243391,4.8
1979,"03","13","Ciudad Real","EXTREMA_DERECHA_ANTIGUA",11130,243391,4.57
1979,"03","13","Ciudad Real","OTROS",1229,243391,0.5
1979,"03","15","Coruña, A","UCD_CDS",198646,426776,46.55
1979,"03","15","Coruña, A","PSOE",88791,426776,20.81
1979,"03","15","Coruña, A","PP",50570,426776,11.85
1979,"03","15","Coruña, A","OTROS",35596,426776,8.34
1979,"03","15","Coruña, A","IU_PCE_HISTORICO",25967,426776,6.08
1979,"03","15","Coruña, A","BNG",22960,426776,5.38
1979,"03","15","Coruña, A","EXTREMA_DERECHA_ANTIGUA",4246,426776,0.99
1979,"03","16","Cuenca","UCD_CDS",64210,122183,52.55
1979,"03","16","Cuenca","PSOE",38625,122183,31.61
1979,"03","16","Cuenca","IU_PCE_HISTORICO",10685,122183,8.75
1979,"03","16","Cuenca","PP",7409,122183,6.06
1979,"03","16","Cuenca","OTROS",1254,122183,1.03
1979,"03","10","Cáceres","UCD_CDS",98250,207535,47.34
1979,"03","10","Cáceres","PSOE",78925,207535,38.03
1979,"03","10","Cáceres","IU_PCE_HISTORICO",13780,207535,6.64
1979,"03","10","Cáceres","PP",8498,207535,4.09
1979,"03","10","Cáceres","EXTREMA_DERECHA_ANTIGUA",6369,207535,3.07
1979,"03","10","Cáceres","OTROS",1713,207535,0.83
1979,"03","11","Cádiz","PSOE",127196,415838,30.59
1979,"03","11","Cádiz","UCD_CDS",122094,415838,29.36
1979,"03","11","Cádiz","PARTIDO_ANDALUCISTA",82017,415838,19.72
1979,"03","11","Cádiz","IU_PCE_HISTORICO",59706,415838,14.36
1979,"03","11","Cádiz","PP",13619,415838,3.28
1979,"03","11","Cádiz","OTROS",5944,415838,1.43
1979,"03","11","Cádiz","EXTREMA_DERECHA_ANTIGUA",5262,415838,1.27
1979,"03","14","Córdoba","PSOE",115198,372730,30.91
1979,"03","14","Córdoba","UCD_CDS",111744,372730,29.98
1979,"03","14","Córdoba","IU_PCE_HISTORICO",76063,372730,20.41
1979,"03","14","Córdoba","PARTIDO_ANDALUCISTA",37023,372730,9.93
1979,"03","14","Córdoba","PP",21280,372730,5.71
1979,"03","14","Córdoba","EXTREMA_DERECHA_ANTIGUA",7936,372730,2.13
1979,"03","14","Córdoba","OTROS",3486,372730,0.94
1979,"03","20","Gipuzkoa","BILDU_HB",100778,328369,30.69
1979,"03","20","Gipuzkoa","PNV",86397,328369,26.31
1979,"03","20","Gipuzkoa","PSOE",59779,328369,18.2
1979,"03","20","Gipuzkoa","UCD_CDS",50321,328369,15.32
1979,"03","20","Gipuzkoa","IU_PCE_HISTORICO",15226,328369,4.64
1979,"03","20","Gipuzkoa","OTROS",13233,328369,4.03
1979,"03","20","Gipuzkoa","EXTREMA_DERECHA_ANTIGUA",2635,328369,0.8
1979,"03","17","Girona","IU_PCE_HISTORICO",83208,235972,35.26
1979,"03","17","Girona","PSOE",66258,235972,28.08
1979,"03","17","Girona","UCD_CDS",58774,235972,24.91
1979,"03","17","Girona","ERC",9974,235972,4.23
1979,"03","17","Girona","PP",8106,235972,3.44
1979,"03","17","Girona","OTROS",7314,235972,3.1
1979,"03","17","Girona","EXTREMA_DERECHA_ANTIGUA",2338,235972,0.99
1979,"03","18","Granada","UCD_CDS",130598,356784,36.6
1979,"03","18","Granada","PSOE",129392,356784,36.27
1979,"03","18","Granada","IU_PCE_HISTORICO",49746,356784,13.94
1979,"03","18","Granada","PARTIDO_ANDALUCISTA",22118,356784,6.2
1979,"03","18","Granada","PP",16780,356784,4.7
1979,"03","18","Granada","EXTREMA_DERECHA_ANTIGUA",4375,356784,1.23
1979,"03","18","Granada","OTROS",3775,356784,1.06
1979,"03","19","Guadalajara","UCD_CDS",36608,77812,47.05
1979,"03","19","Guadalajara","PSOE",18932,77812,24.33
1979,"03","19","Guadalajara","PP",8423,77812,10.82
1979,"03","19","Guadalajara","IU_PCE_HISTORICO",7683,77812,9.87
1979,"03","19","Guadalajara","EXTREMA_DERECHA_ANTIGUA",5375,77812,6.91
1979,"03","19","Guadalajara","OTROS",791,77812,1.02
1979,"03","21","Huelva","UCD_CDS",70012,187867,37.27
1979,"03","21","Huelva","PSOE",68737,187867,36.59
1979,"03","21","Huelva","IU_PCE_HISTORICO",19482,187867,10.37
1979,"03","21","Huelva","PARTIDO_ANDALUCISTA",18030,187867,9.6
1979,"03","21","Huelva","PP",6332,187867,3.37
1979,"03","21","Huelva","EXTREMA_DERECHA_ANTIGUA",3347,187867,1.78
1979,"03","21","Huelva","OTROS",1927,187867,1.03
1979,"03","22","Huesca","UCD_CDS",56396,118332,47.66
1979,"03","22","Huesca","PSOE",42170,118332,35.64
1979,"03","22","Huesca","IU_PCE_HISTORICO",8866,118332,7.49
1979,"03","22","Huesca","PP",5506,118332,4.65
1979,"03","22","Huesca","OTROS",4206,118332,3.55
1979,"03","22","Huesca","EXTREMA_DERECHA_ANTIGUA",1188,118332,1
1979,"03","23","Jaén","PSOE",139799,329500,42.43
1979,"03","23","Jaén","UCD_CDS",111012,329500,33.69
1979,"03","23","Jaén","IU_PCE_HISTORICO",44304,329500,13.45
1979,"03","23","Jaén","PP",11818,329500,3.59
1979,"03","23","Jaén","PARTIDO_ANDALUCISTA",11303,329500,3.43
1979,"03","23","Jaén","EXTREMA_DERECHA_ANTIGUA",9283,329500,2.82
1979,"03","23","Jaén","OTROS",1981,329500,0.6
1979,"03","24","León","UCD_CDS",130187,259183,50.23
1979,"03","24","León","PSOE",71710,259183,27.67
1979,"03","24","León","PP",29426,259183,11.35
1979,"03","24","León","IU_PCE_HISTORICO",19481,259183,7.52
1979,"03","24","León","EXTREMA_DERECHA_ANTIGUA",4407,259183,1.7
1979,"03","24","León","OTROS",3972,259183,1.53
1979,"03","25","Lleida","UCD_CDS",54334,171601,31.66
1979,"03","25","Lleida","IU_PCE_HISTORICO",48260,171601,28.12
1979,"03","25","Lleida","PSOE",42881,171601,24.99
1979,"03","25","Lleida","ERC",13356,171601,7.78
1979,"03","25","Lleida","PP",5673,171601,3.31
1979,"03","25","Lleida","OTROS",4959,171601,2.89
1979,"03","25","Lleida","EXTREMA_DERECHA_ANTIGUA",2138,171601,1.25
1979,"03","27","Lugo","UCD_CDS",76155,149051,51.09
1979,"03","27","Lugo","PP",28849,149051,19.36
1979,"03","27","Lugo","PSOE",25320,149051,16.99
1979,"03","27","Lugo","BNG",11247,149051,7.55
1979,"03","27","Lugo","OTROS",3728,149051,2.5
1979,"03","27","Lugo","IU_PCE_HISTORICO",2766,149051,1.86
1979,"03","27","Lugo","EXTREMA_DERECHA_ANTIGUA",986,149051,0.66
1979,"03","28","Madrid","PSOE",784172,2308503,33.97
1979,"03","28","Madrid","UCD_CDS",764527,2308503,33.12
1979,"03","28","Madrid","IU_PCE_HISTORICO",390533,2308503,16.92
1979,"03","28","Madrid","PP",200235,2308503,8.67
1979,"03","28","Madrid","EXTREMA_DERECHA_ANTIGUA",117167,2308503,5.08
1979,"03","28","Madrid","OTROS",48658,2308503,2.11
1979,"03","28","Madrid","BILDU_HB",3211,2308503,0.14
1979,"03","52","Melilla","UCD_CDS",9035,17270,52.32
1979,"03","52","Melilla","PSOE",3570,17270,20.67
1979,"03","52","Melilla","OTROS",2206,17270,12.77
1979,"03","52","Melilla","IU_PCE_HISTORICO",1182,17270,6.84
1979,"03","52","Melilla","PP",848,17270,4.91
1979,"03","52","Melilla","EXTREMA_DERECHA_ANTIGUA",429,17270,2.48
1979,"03","30","Murcia","PSOE",181657,439419,41.34
1979,"03","30","Murcia","UCD_CDS",173496,439419,39.48
1979,"03","30","Murcia","IU_PCE_HISTORICO",41363,439419,9.41
1979,"03","30","Murcia","PP",25096,439419,5.71
1979,"03","30","Murcia","OTROS",10367,439419,2.36
1979,"03","30","Murcia","EXTREMA_DERECHA_ANTIGUA",7440,439419,1.69
1979,"03","29","Málaga","PSOE",151824,410648,36.97
1979,"03","29","Málaga","UCD_CDS",120390,410648,29.32
1979,"03","29","Málaga","IU_PCE_HISTORICO",59094,410648,14.39
1979,"03","29","Málaga","PARTIDO_ANDALUCISTA",50662,410648,12.34
1979,"03","29","Málaga","PP",16449,410648,4.01
1979,"03","29","Málaga","EXTREMA_DERECHA_ANTIGUA",7311,410648,1.78
1979,"03","29","Málaga","OTROS",4918,410648,1.2
1979,"03","31","Navarra","UCD_CDS",84039,254616,33.01
1979,"03","31","Navarra","PSOE",55910,254616,21.96
1979,"03","31","Navarra","BILDU_HB",33704,254616,13.24
1979,"03","31","Navarra","PP",28664,254616,11.26
1979,"03","31","Navarra","OTROS",24052,254616,9.45
1979,"03","31","Navarra","PNV",21532,254616,8.46
1979,"03","31","Navarra","IU_PCE_HISTORICO",6715,254616,2.64
1979,"03","32","Ourense","UCD_CDS",76177,144424,52.75
1979,"03","32","Ourense","PP",26799,144424,18.56
1979,"03","32","Ourense","PSOE",23322,144424,16.15
1979,"03","32","Ourense","BNG",8010,144424,5.55
1979,"03","32","Ourense","IU_PCE_HISTORICO",5509,144424,3.81
1979,"03","32","Ourense","OTROS",4607,144424,3.19
1979,"03","34","Palencia","UCD_CDS",51253,98762,51.9
1979,"03","34","Palencia","PSOE",25866,98762,26.19
